Title,Abstract
Wrońskian algebra and Broadhurst–Roberts quadratic relations,"Through algebraic manipulations on Wronskian matrices whose entries are reducible to Bessel moments, we present a new analytic proof of the quadratic relations conjectured by Broadhurst and Roberts, along with some generalizations. In the Wronskian framework, we reinterpret the de Rham intersection pairing through polynomial coefficients in Vanhove's differential operators, and compute the Betti intersection pairing via linear sum rules for on-shell and off-shell Feynman diagrams at threshold momenta. From the ideal generated by Broadhurst--Roberts quadratic relations, we derive new non-linear sum rules for on-shell Feynman diagrams, including an infinite family of determinant identities that are compatible with Deligne's conjectures for critical values of motivic $L$-functions."
Application of modern algebra in cryptography,"With the rapid development of the digital age, information security, from personal data to national security, is becoming increasingly crucial. Information security primarily refers to the computation and processing of diverse information in computer systems and information exchange networks in order to safeguard information security. Cryptography is the technical foundation for achieving these objectives. In the early stages of education, advanced mathematics, linear algebra, probability theory, and other fundamental disciplines must be studied, although the practical application of modern algebra, cryptography, number theory, and mathematical knowledge will vary. This study explores the application of current algebra in cryptography, including both traditional and modern cryptographic applications, using a literature review approach. By comparing images from various eras, the researchers discovered that images were classed as ""traditional"" and ""modern"" at various times. Moreover, the likelihood of both traditional and modern images being identified throughout the modern era is comparatively higher."
Analytic construction of multi-brane solutions in cubic string field theory for any brane number,"
 We present an analytic construction of multi-brane solutions with any integer brane number in cubic open string field theory (CSFT) on the basis of the ${K\!Bc}$ algebra. Our solution is given in the pure-gauge form $\Psi=U{Q_\textrm{B}} U^{-1}$ by a unitary string field $U$, which we choose to satisfy two requirements. First, the energy density of the solution should reproduce that of the $(N+1)$-branes. Second, the equations of motion (EOM) of the solution should hold against the solution itself. In spite of the pure-gauge form of $\Psi$, these two conditions are non-trivial ones due to the singularity at $K=0$. For the $(N+1)$-brane solution, our $U$ is specified by $[N/2]$ independent real parameters $\alpha_k$. For the 2-brane ($N=1$), the solution is unique and reproduces the known one. We find that $\alpha_k$ satisfying the two conditions indeed exist as far as we have tested for various integer values of $N\ (=2, 3, 4, 5, \ldots)$. Our multi-brane solutions consisting only of the elements of the ${K\!Bc}$ algebra have the problem that the EOM is not satisfied against the Fock states and therefore are not complete ones. However, our construction should be an important step toward understanding the topological nature of CSFT, which has similarities to the Chern–Simons theory in three dimensions."
Lorentzian Lie (3-)algebra and toroidal compactification of M/string theory,"We construct a class of Lie 3-algebras with an arbitrary number of pairs of generators with Lorentzian signature metric. Some examples are given and corresponding BLG models are studied. We show that such a system in general describes supersymmetric massive vector multiplets after the ghost fields are Higgsed. Simple systems with nontrivial interaction are realized by infinite dimensional Lie 3-algebras associated with the loop algebras. The massive fields are then naturally identified with the Kaluza-Klein modes by the toroidal compactification triggered by the ghost fields. For example, Dp-brane with an (infinite dimensional) affine Lie algebra symmetry ˆ g can be identified with D(p + 1)-brane with gauge symmetry g."
On Tools for Completeness of Kleene Algebra with Hypotheses,"In the literature on Kleene algebra, a number of variants have been proposed
which impose additional structure specified by a theory, such as Kleene algebra
with tests (KAT) and the recent Kleene algebra with observations (KAO), or make
specific assumptions about certain constants, as for instance in NetKAT. Many
of these variants fit within the unifying perspective offered by Kleene algebra
with hypotheses, which comes with a canonical language model constructed from a
given set of hypotheses. For the case of KAT, this model corresponds to the
familiar interpretation of expressions as languages of guarded strings. A
relevant question therefore is whether Kleene algebra together with a given set
of hypotheses is complete with respect to its canonical language model. In this
paper, we revisit, combine and extend existing results on this question to
obtain tools for proving completeness in a modular way. We showcase these tools
by giving new and modular proofs of completeness for KAT, KAO and NetKAT, and
we prove completeness for new variants of KAT: KAT extended with a constant for
the full relation, KAT extended with a converse operation, and a version of KAT
where the collection of tests only forms a distributive lattice."
Additive number theory and inequalities in Ehrhart theory,"We introduce a powerful connection between Ehrhart theory and additive number theory, and use it to produce infinitely many new classes of inequalities between the coefficients of the $h^*$-polynomial of a lattice polytope. This greatly improves upon the three known classes of inequalities, which were proved using techniques from commutative algebra and combinatorics. As an application, we deduce all possible `balanced' inequalities between the coefficients of the $h^*$-polynomial of a lattice polytope containing an interior lattice point, in dimension at most 6."
Holographic symmetry algebras for gauge theory and gravity,"All 4D gauge and gravitational theories in asymptotically flat spacetimes contain an infinite number of non-trivial symmetries. They can be succinctly characterized by generalized 2D currents acting on the celestial sphere. A complete classification of these symmetries and their algebras is an open problem. Here we construct two towers of such 2D currents from positive-helicity photons, gluons, or gravitons with integer conformal weights. These generate the symmetries associated to an infinite tower of conformally soft theorems. The current algebra commutators are explicitly derived from the poles in the OPE coefficients, and found to comprise a rich closed subalgebra of the complete symmetry algebra."
Theory of overparametrization in quantum neural networks,"The prospect of achieving quantum advantage with quantum neural networks (QNNs) is exciting. Understanding how QNN properties (for example, the number of parameters M) affect the loss landscape is crucial to designing scalable QNN architectures. Here we rigorously analyze the overparametrization phenomenon in QNNs, defining overparametrization as the regime where the QNN has more than a critical number of parameters Mc allowing it to explore all relevant directions in state space. Our main results show that the dimension of the Lie algebra obtained from the generators of the QNN is an upper bound for Mc, and for the maximal rank that the quantum Fisher information and Hessian matrices can reach. Underparametrized QNNs have spurious local minima in the loss landscape that start disappearing when M ≥ Mc. Thus, the overparametrization onset corresponds to a computational phase transition where the QNN trainability is greatly improved. We then connect the notion of overparametrization to the QNN capacity, so that when a QNN is overparametrized, its capacity achieves its maximum possible value. A theoretical framework for quantum neural network (QNN) overparametrization, a phase transition in loss landscape complexity, is established. The precise characterization of the critical number of parameters offered is expected to impact QNN design."
Dyson Schwinger Equations: From Hopf algebras to Number Theory,"We consider the structure of renormalizable quantum field theories from the viewpoint of their underlying Hopf algebra structure. We review how to use this Hopf algebra and the ensuing Hochschild cohomology to derive non-perturbative results for the short-distance singular sector of a renormalizable quantum field theory. We focus on the short-distance behaviour and thus discuss renormalized Green functions $G_R(\alpha,L)$ which depend on a single scale $L=\ln q^2/\mu^2$."
From Physics to Number Theory via Noncommutative Geometry. Part I: Quantum Statistical Mechanics of Q-lattices,"Several recent results reveal a surprising connection between modular forms and noncommutative geometry. The first occurrence came from the classification of noncommutative three spheres, [C–DuboisViolette-I] [C–DuboisViolette-II]. Hard computations with the noncommutative analog of the Jacobian involving the ninth power of the Dedekind eta function were necessary in order to analyze the relation between such spheres and noncommutative nilmanifolds. Another occurrence can be seen in the computation of the explicit cyclic cohomology 
Chern character of a spectral triple on SU_q(2) [C–02]. Another surprise came recently from a remarkable action of the Hopf algebra of transverse geometry of foliations of codimension one on the space of lattices modulo Hecke correspondences, described in the framework of noncommutative geometry, using a modular Hecke algebra obtained as the cross product of modular forms by the 
action of Hecke correspondences [C–Moscovici-I] [C–Moscovici-II]. This action determines a differentiable structure on this noncommutative space, related to the Rankin–Cohen brackets of modular forms, and shows their compatibility with Hecke operators. Another instance where properties of modular forms can be recast in the context of noncommutative geometry can be found in the theory 
of modular symbols and Mellin transforms of cusp forms of weight two, which can be recovered from the geometry of the moduli space of Morita equivalence classes of noncommutative tori viewed as boundary of the modular curve [Manin–M]."
