title,abstract,field_1_na,field_1_co,field_2_na,field_2_co,field_3_na,field_3_co
POP909: A Pop-Song Dataset for Music Arrangement Generation,"Music arrangement generation is a subtask of automatic music generation, which involves reconstructing and re-conceptualizing a piece with new compositional techniques. Such a generation process inevitably requires reference from the original melody, chord progression, or other structural information. Despite some promising models for arrangement, they lack more refined data to achieve better evaluations and more practical results. In this paper, we propose POP909, a dataset which contains multiple versions of the piano arrangements of 909 popular songs created by professional musicians. The main body of the dataset contains the vocal melody, the lead instrument melody, and the piano accompaniment for each song in MIDI format, which are aligned to the original audio files. Furthermore, we provide the annotations of tempo, beat, key, and chords, where the tempo curves are hand-labeled and others are done by MIR algorithms. Finally, we conduct several baseline experiments with this dataset using standard deep music generation algorithms.",Computer Science,70.00%,Music,20.00%,Artificial Intelligence,10.00%
FMA: A Dataset for Music Analysis,"We introduce the Free Music Archive (FMA), an open and easily accessible dataset suitable for evaluating several tasks in MIR, a field concerned with browsing, searching, and organizing large music collections. The community's growing interest in feature and end-to-end learning is however restrained by the limited availability of large audio datasets. The FMA aims to overcome this hurdle by providing 917 GiB and 343 days of Creative Commons-licensed audio from 106,574 tracks from 16,341 artists and 14,854 albums, arranged in a hierarchical taxonomy of 161 genres. It provides full-length and high-quality audio, pre-computed features, together with track- and user-level metadata, tags, and free-form text such as biographies. We here describe the dataset and how it was created, propose a train/validation/test split and three subsets, discuss some suitable MIR tasks, and evaluate some baselines for genre recognition. Code, data, and usage examples are available at this https URL",Computer Science,45.00%,Music,35.00%,Artificial Intelligence,20.00%
"Cross-Cultural Work in Music Cognition: Challenges, Insights, and Recommendations.","Many foundational questions in the psychology of music require cross-cultural approaches, yet the vast majority of work in the field to date has been conducted with Western participants and Western music. For cross-cultural research to thrive, it will require collaboration between people from different disciplinary backgrounds, as well as strategies for overcoming differences in assumptions, methods, and terminology. This position paper surveys the current state of the field and offers a number of concrete recommendations focused on issues involving ethics, empirical methods, and definitions of ""music"" and ""culture.""",Psychology (miscellaneous),60.00%,Music,25.00%,Social Sciences (miscellaneous),15.00%
Music Theory and the White Racial Frame,"For over twenty years, music theory has tried to diversify with respect to race, yet the field today remains remarkably white, not only in terms of the people who practice music theory but also in the race of the composers and theorists whose work music theory privileges. In this paper, a critical-race examination of the field of music theory, I try to come to terms with why this is so. I posit that there exists a “white racial frame” in music theory that is structural and institutionalized, and that only through a deframing and reframing of this white racial frame will we begin to see positive racial changes in music theory.",Music,70.00%,Sociology and Political Science,20.00%,Cultural Studies,10.00%
Foley Music: Learning to Generate Music from Videos,"In this paper, we introduce Foley Music, a system that can synthesize plausible music for a silent video clip about people playing musical instruments. We first identify two key intermediate representations for a successful video to music generator: body keypoints from videos and MIDI events from audio recordings. We then formulate music generation from videos as a motion-to-MIDI translation problem. We present a Graph$-$Transformer framework that can accurately predict MIDI event sequences in accordance with the body movements. The MIDI event can then be converted to realistic music using an off-the-shelf music synthesizer tool. We demonstrate the effectiveness of our models on videos containing a variety of music performances. Experimental results show that our model outperforms several existing systems in generating music that is pleasant to listen to. More importantly, the MIDI representations are fully interpretable and transparent, thus enabling us to perform music editing flexibly. We encourage the readers to watch the demo video with audio turned on to experience the results.",Computer Vision and Pattern Recognition,45.00%,Artificial Intelligence,35.00%,Software,20.00%
"A Comprehensive Survey on Deep Music Generation: Multi-level Representations, Algorithms, Evaluations, and Future Directions","The utilization of deep learning techniques in generating various contents (such as image, text, etc.) has become a trend. Especially music, the topic of this paper, has attracted widespread attention of countless researchers.The whole process of producing music can be divided into three stages, corresponding to the three levels of music generation: score generation produces scores, performance generation adds performance characteristics to the scores, and audio generation converts scores with performance characteristics into audio by assigning timbre or generates music in audio format directly. Previous surveys have explored the network models employed in the field of automatic music generation. However, the development history, the model evolution, as well as the pros and cons of same music generation task have not been clearly illustrated. This paper attempts to provide an overview of various composition tasks under different music generation levels, covering most of the currently popular music generation tasks using deep learning. In addition, we summarize the datasets suitable for diverse tasks, discuss the music representations, the evaluation methods as well as the challenges under different levels, and finally point out several future directions.",Computer Science,70.00%,Artificial Intelligence,20.00%,Music,10.00%
"Music, Language, and the Brain",1. Introduction 2. Sound Elements: Pitch and Timbre 2.1 Introduction 2.2 Musical Sound Systems 2.3 Linguistic Sound Systems 2.4 Sound Category Learning as a Key Link 2.5 Conclusion Appendixes 3. Rhythm 3.1 Introduction 3.2 Rhythm in Music 3.3 Rhythm in Speech 3.4 Interlude: Rhythm in Poetry and Song 3.5 Non-Periodic Aspects of Rhythm as a Key Link 3.6 Conclusion Appendixes 4. Melody 4.1 Introduction 4.2 Melody in Music: Comparisons to Speech 4.3 Speech Melody: Links to Music 4.4 Interlude: Musical and Linguistic Melody in Song 4.5 Melodic Statistics and Melodic Contour as Key Links 4.6 Conclusion Appendix 5. Syntax 5.1 Introduction 5.2 The Structural Richness of Musical Syntax 5.3 Formal Differences and Similarities between Musical and Linguistic Syntax 5.4 Neural Resources for Syntactic Integration as a Key Link 5.5 Conclusion 6. Meaning 6.1 Introduction 6.2 A Brief Taxonomy of Musical Meaning 6.3 Linguistic Meaning in Relation to Music 6.4 Interlude: Linguistic and Musical Meaning in Song 6.5 The Expression and Appraisal of Emotion as a Key Link 6.6 Conclusion 7. Evolution 7.1 Introduction 7.2 Language and Natural Selection 7.3 Music and Natural Selection 7.4 Music and Evolution: Neither Adaptation nor Frill 7.5 Beat-Based Rhythm Processing as a Key Research Area 7.6 Conclusion Appendix Afterword References List of Sound Examples Lis of Credits Author Index Subject Index,Cognitive Neuroscience,45.00%,Language and Linguistics,30.00%,Music,25.00%
Learning to Generate Music With Sentiment,"Deep Learning models have shown very promising results in automatically composing polyphonic music pieces. However, it is very hard to control such models in order to guide the compositions towards a desired goal. We are interested in controlling a model to automatically generate music with a given sentiment. This paper presents a generative Deep Learning model that can be directed to compose music with a given sentiment. Besides music generation, the same model can be used for sentiment analysis of symbolic music. We evaluate the accuracy of the model in classifying sentiment of symbolic music using a new dataset of video game soundtracks. Results show that our model is able to obtain good prediction accuracy. A user study shows that human subjects agreed that the generated music has the intended sentiment, however negative pieces can be ambiguous.",Artificial Intelligence,70.00%,Computer Science,20.00%,Music,10.00%
The digital ‘turn’ in music education (editorial),"ABSTRACT The global COVID-19 pandemic has disrupted music education across the world, resulting in radical changes to the field of practice, accelerating a ‘turn’ toward online digital musical experiences. This digital ‘turn’ is likely to influence the future of music education in a variety of complex and inter-connected ways. In this special issue, we explore the implications of such a ‘turn’ for music educators and their students / participants, and highlight some of the ways in which music researchers and educators have responded to the crisis. We hope these narratives will help illuminate some of the ways in which music education might recover its equilibrium, as well as make a contribution more generally to the complex business of human recovery in a post-COVID world.",Music,70.00%,Education,20.00%,Visual Arts and Performing Arts,10.00%
Music Therapy and Other Music-Based Interventions in Pediatric Health Care: An Overview,"Background: In pediatric health care, non-pharmacological interventions such as music therapy have promising potential to complement traditional medical treatment options in order to facilitate recovery and well-being. Music therapy and other music-based interventions are increasingly applied in the clinical treatment of children and adolescents in many countries world-wide. The purpose of this overview is to examine the evidence regarding the effectiveness of music therapy and other music-based interventions as applied in pediatric health care. Methods: Surveying recent literature and summarizing findings from systematic reviews, this overview covers selected fields of application in pediatric health care (autism spectrum disorder; disability; epilepsy; mental health; neonatal care; neurorehabilitation; pain, anxiety and stress in medical procedures; pediatric oncology and palliative care) and discusses the effectiveness of music interventions in these areas. Results: Findings show that there is a growing body of evidence regarding the beneficial effects of music therapy, music medicine, and other music-based interventions for children and adolescents, although more rigorous research is still needed. The highest quality of evidence for the positive effects of music therapy is available in the fields of autism spectrum disorder and neonatal care. Conclusions: Music therapy can be considered a safe and generally well-accepted intervention in pediatric health care to alleviate symptoms and improve quality of life. As an individualized intervention that is typically provided in a person-centered way, music therapy is usually easy to implement into clinical practices. However, it is important to note that to exploit the potential of music therapy in an optimal way, specialized academic and clinical training and careful selection of intervention techniques to fit the needs of the client are essential.",Complementary and Alternative Medicine,60.00%,"Pediatrics, Perinatology and Child Health",25.00%,Music,15.00%
